"Some text but not a number",,,,,,,
"No blanks!!!",,,,,,,
"Question #","Question Text","Answer 1","Answer 2","Answer 3","Answer 4","Time Limit /sec","Correct Answer(s)"
32,Woher kommt sie? = Where is she from?,Woher kommt sie?,Woher komet sie?,Woher kommt lie?,uoher kommt sie?,10,1
33,Woher kommt Peter? = Where is Peter from?,Woher kommt Peter?,Woher kommm Peter?,Woher kommt xeter?,boher kommt Peter?,10,1
34,Woher kommt Anja? = Where is Anja from?,Woher kommt Anja?,Woher kommt Anpa?,Woher kfmmt Anja?,Woher kommt Anva?,10,1
35,Wo wohnst du? = Where do you live?,Wo wohnst du?,Wo wohnct du?,to wohnst du?,Wo wohnst dui,10,1
36,Wo wohnt er? = Where does he live?,Wo wohnt er?,Wq wohnt er?,Wo yohnt er?,Wo wohnt et?,10,1
37,Wo wohnt sie? = Where does she live?,Wo wohnt sie?,Wo woznt sie?,Wq wohnt sie?,Wo zohnt sie?,10,1
38,Wo wohnt Peter? = Where does Peter live?,Wo wohnt Peter?,Wo wohnt xeter?,Wf wohnt Peter?,Wo wohnt Peoer?,10,1
39,was = what,Was machst du? Was ist das?,Was machst du? Was ast das?,Was mackst du? Was ist das?,Was machst ku? Was ist das?,10,1
40,richtig = correct,"Ist es richtig? Ja, es ist richtig.","Ist es richtig? Ja, es cst richtig.","Ist es richtig? Ja, es ist cichtig.","Ist es richtig? Ja, es gst richtig.",10,1
41,"falsch = wrong, incorrect",Ist es richtig oder falsch? Es ist falsch.,Ist es richtig oder falschh Es ist falsch.,Ist es richfig oder falsch? Es ist falsch.,Ist es richtig oder falsch? Es ist falsgh.,10,1
42,oder = or,Wohnst du in Hamburg? Oder wohnst du in Berlin?,dohnst du in Hamburg? Oder wohnst du in Berlin?,Wohnst du in Hamburg? Oder woynst du in Berlin?,Wohnst du in Hamburg? Oder wohnst du in Berlix?,10,1
43,Jahr = the year,das Jahr - zwei Jahre,das Jahr - zwei Jahrl,das Jahr - zwhi Jahre,dac Jahr - zwei Jahre,10,1
44,Deutschland = Germany,Deutschland ist schön.,Deutschland ist schöq.,Deutachland ist schön.,Deutschldnd ist schön.,10,1
